FID,Id,X,y,longitud,latitud
96,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464699
97,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464699
98,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464699
99,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464699
100,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464699
101,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464699
102,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464699
103,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464699
104,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464699
105,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464699
106,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464699
107,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464699
108,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464699
109,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464699
110,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464599
111,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464599
112,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464599
113,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464599
114,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464599
115,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464599
116,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464599
117,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464599
118,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464599
119,0,621015.0000000,9773760.0000000,-79.9117966,-2.0464599
120,0,621016.0000000,9773760.0000000,-79.9117966,-2.0464599
121,0,621017.0000000,9773760.0000000,-79.9117966,-2.0464599
122,0,621018.0000000,9773760.0000000,-79.9117966,-2.0464599
123,0,621019.0000000,9773760.0000000,-79.9117966,-2.0464599
124,0,621020.0000000,9773760.0000000,-79.9117966,-2.0464599
125,0,621021.0000000,9773760.0000000,-79.9117966,-2.0464599
126,0,621022.0000000,9773760.0000000,-79.9117966,-2.0464599
127,0,621023.0000000,9773760.0000000,-79.9117966,-2.0464599
128,0,621024.0000000,9773760.0000000,-79.9117966,-2.0464599
129,0,621025.0000000,9773760.0000000,-79.9117966,-2.0464599
130,0,621026.0000000,9773760.0000000,-79.9116974,-2.0464599
131,0,621027.0000000,9773760.0000000,-79.9116974,-2.0464599
132,0,621006.0000000,9773760.0000000,-79.9119034,-2.0464499
133,0,621007.0000000,9773760.0000000,-79.9119034,-2.0464499
134,0,621008.0000000,9773760.0000000,-79.9119034,-2.0464499
135,0,621009.0000000,9773760.0000000,-79.9119034,-2.0464499
136,0,621010.0000000,9773760.0000000,-79.9119034,-2.0464499
137,0,621011.0000000,9773760.0000000,-79.9119034,-2.0464499
138,0,621012.0000000,9773760.0000000,-79.9119034,-2.0464499
139,0,621013.0000000,9773760.0000000,-79.9119034,-2.0464499
140,0,621014.0000000,9773760.0000000,-79.9117966,-2.0464499
